temparature,weather,sells
35.248615,0.0,132.44
37.528355,0.0,142.51
32.518875,0.0,127.70
26.970680,0.0,116.02
32.901375,1.0,85.37
34.352425,0.0,137.56
29.312223,1.0,67.04
30.941996,1.0,71.51
30.234177,0.0,104.16
29.689245,1.0,87.56
38.934875,0.0,139.69
34.785976,0.0,142.83
37.064690,0.0,156.58
32.293087,0.0,142.69
31.418299,0.0,129.36
30.507414,0.0,113.24
16.546255,0.0,57.07
35.479027,0.0,140.57
20.724728,0.0,71.65
20.487600,0.0,89.17
25.657394,0.0,94.38
26.641348,0.0,104.81
31.730848,0.0,121.97
36.050186,0.0,138.66
33.208298,0.0,117.27
34.133427,0.0,117.86
37.877991,0.0,160.74
27.431259,1.0,64.43
23.955915,0.0,101.83
32.517075,1.0,71.76
29.826220,0.0,90.90
